Title,Year,Rating
1. The Shawshank Redemption,1994,9.3 (2.9M)
2. The Godfather,1972,9.2 (2M)
3. The Dark Knight,2008,9.0 (2.8M)
4. The Godfather Part II,1974,9.0 (1.4M)
5. 12 Angry Men,1957,9.0 (855K)
6. Schindler's List,1993,9.0 (1.4M)
7. The Lord of the Rings: The Return of the King,2003,9.0 (2M)
8. Pulp Fiction,1994,8.9 (2.2M)
9. The Lord of the Rings: The Fellowship of the Ring,2001,8.9 (2M)
"10. The Good, the Bad and the Ugly",1966,8.8 (805K)
11. Forrest Gump,1994,8.8 (2.2M)
12. The Lord of the Rings: The Two Towers,2002,8.8 (1.8M)
13. Fight Club,1999,8.8 (2.3M)
14. Inception,2010,8.8 (2.5M)
15. Star Wars: Episode V - The Empire Strikes Back,1980,8.7 (1.4M)
16. The Matrix,1999,8.7 (2M)
17. Goodfellas,1990,8.7 (1.2M)
18. One Flew Over the Cuckoo's Nest,1975,8.7 (1.1M)
19. Se7en,1995,8.6 (1.8M)
20. It's a Wonderful Life,1946,8.6 (496K)
21. Interstellar,2014,8.7 (2.1M)
22. Seven Samurai,1954,8.6 (364K)
23. The Silence of the Lambs,1991,8.6 (1.5M)
24. Saving Private Ryan,1998,8.6 (1.5M)
25. City of God,2002,8.6 (795K)
26. Life Is Beautiful,1997,8.6 (737K)
27. The Green Mile,1999,8.6 (1.4M)
28. Terminator 2: Judgment Day,1991,8.6 (1.2M)
29. Star Wars: Episode IV - A New Hope,1977,8.6 (1.4M)
30. Back to the Future,1985,8.5 (1.3M)
31. Spirited Away,2001,8.6 (838K)
32. The Pianist,2002,8.5 (903K)
33. Spider-Man: Across the Spider-Verse,2023,8.6 (349K)
34. Parasite,2019,8.5 (939K)
35. Psycho,1960,8.5 (713K)
36. Gladiator,2000,8.5 (1.6M)
37. The Lion King,1994,8.5 (1.1M)
38. Léon: The Professional,1994,8.5 (1.2M)
39. The Departed,2006,8.5 (1.4M)
40. American History X,1998,8.5 (1.2M)
41. Whiplash,2014,8.5 (973K)
42. The Prestige,2006,8.5 (1.4M)
43. Grave of the Fireflies,1988,8.5 (306K)
44. Harakiri,1962,8.6 (67K)
45. The Usual Suspects,1995,8.5 (1.1M)
46. Casablanca,1942,8.5 (602K)
47. The Intouchables,2011,8.5 (920K)
48. Cinema Paradiso,1988,8.5 (280K)
49. Modern Times,1936,8.5 (257K)
50. Rear Window,1954,8.5 (519K)
51. Once Upon a Time in the West,1968,8.5 (347K)
52. 12th Fail,2023,9.1 (99K)
53. Alien,1979,8.5 (941K)
54. City Lights,1931,8.5 (195K)
55. Apocalypse Now,1979,8.4 (705K)
56. Django Unchained,2012,8.5 (1.7M)
57. Memento,2000,8.4 (1.3M)
58. WALL·E,2008,8.4 (1.2M)
59. Raiders of the Lost Ark,1981,8.4 (1M)
60. The Lives of Others,2006,8.4 (408K)
61. Sunset Blvd.,1950,8.4 (235K)
62. Paths of Glory,1957,8.4 (211K)
63. Avengers: Infinity War,2018,8.4 (1.2M)
64. Spider-Man: Into the Spider-Verse,2018,8.4 (660K)
65. The Shining,1980,8.4 (1.1M)
66. Witness for the Prosecution,1957,8.4 (136K)
67. The Great Dictator,1940,8.4 (236K)
68. Aliens,1986,8.4 (757K)
69. Inglourious Basterds,2009,8.4 (1.6M)
70. The Dark Knight Rises,2012,8.4 (1.8M)
71. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4 (515K)
72. American Beauty,1999,8.3 (1.2M)
73. Oldboy,2003,8.3 (629K)
74. Coco,2017,8.4 (582K)
75. Amadeus,1984,8.4 (425K)
76. Toy Story,1995,8.3 (1.1M)
77. The Boat,1981,8.4 (263K)
78. Braveheart,1995,8.3 (1.1M)
79. Avengers: Endgame,2019,8.4 (1.3M)
80. Joker,2019,8.4 (1.5M)
81. Princess Mononoke,1997,8.3 (429K)
82. Good Will Hunting,1997,8.3 (1.1M)
83. Oppenheimer,2023,8.4 (648K)
84. Your Name.,2016,8.4 (314K)
85. Once Upon a Time in America,1984,8.3 (375K)
86. High and Low,1963,8.4 (52K)
87. 3 Idiots,2009,8.4 (430K)
88. Singin' in the Rain,1952,8.3 (259K)
89. Capernaum,2018,8.4 (104K)
90. Requiem for a Dream,2000,8.3 (892K)
91. Come and See,1985,8.4 (95K)
92. Toy Story 3,2010,8.3 (886K)
93. Star Wars: Episode VI - Return of the Jedi,1983,8.3 (1.1M)
94. Eternal Sunshine of the Spotless Mind,2004,8.3 (1.1M)
95. The Hunt,2012,8.3 (360K)
96. 2001: A Space Odyssey,1968,8.3 (713K)
97. Poor Things,2023,8.4 (101K)
98. Reservoir Dogs,1992,8.3 (1.1M)
99. Ikiru,1952,8.3 (87K)
100. Lawrence of Arabia,1962,8.3 (312K)
101. The Apartment,1960,8.3 (195K)
102. Citizen Kane,1941,8.3 (463K)
103. North by Northwest,1959,8.3 (344K)
104. M,1931,8.3 (167K)
105. Vertigo,1958,8.3 (424K)
106. Double Indemnity,1944,8.3 (166K)
107. Scarface,1983,8.3 (908K)
108. Incendies,2010,8.3 (196K)
109. Amélie,2001,8.3 (790K)
110. Full Metal Jacket,1987,8.3 (785K)
111. A Clockwork Orange,1971,8.3 (875K)
112. Heat,1995,8.3 (713K)
113. Up,2009,8.3 (1.1M)
114. To Kill a Mockingbird,1962,8.3 (331K)
115. The Sting,1973,8.3 (278K)
116. A Separation,2011,8.3 (257K)
117. Indiana Jones and the Last Crusade,1989,8.2 (806K)
118. Die Hard,1988,8.2 (939K)
119. Hamilton,2020,8.3 (111K)
120. Metropolis,1927,8.3 (184K)
121. Like Stars on Earth,2007,8.3 (205K)
122. Snatch,2000,8.2 (903K)
123. L.A. Confidential,1997,8.2 (614K)
124. Bicycle Thieves,1948,8.3 (174K)
125. 1917,2019,8.2 (666K)
126. Taxi Driver,1976,8.2 (911K)
127. Downfall,2004,8.2 (373K)
128. Dangal,2016,8.3 (208K)
129. For a Few Dollars More,1965,8.2 (272K)
130. Batman Begins,2005,8.2 (1.6M)
131. The Wolf of Wall Street,2013,8.2 (1.6M)
132. Some Like It Hot,1959,8.2 (282K)
133. The Kid,1921,8.2 (134K)
134. Green Book,2018,8.2 (559K)
135. The Father,2020,8.2 (189K)
136. Top Gun: Maverick,2022,8.2 (678K)
137. Judgment at Nuremberg,1961,8.3 (84K)
138. All About Eve,1950,8.2 (138K)
139. The Truman Show,1998,8.2 (1.2M)
140. There Will Be Blood,2007,8.2 (636K)
141. Shutter Island,2010,8.2 (1.4M)
142. Casino,1995,8.2 (559K)
143. Ran,1985,8.2 (135K)
144. Jurassic Park,1993,8.2 (1.1M)
145. The Sixth Sense,1999,8.2 (1M)
146. Pan's Labyrinth,2006,8.2 (699K)
147. Unforgiven,1992,8.2 (433K)
148. A Beautiful Mind,2001,8.2 (980K)
149. No Country for Old Men,2007,8.2 (1M)
150. The Treasure of the Sierra Madre,1948,8.2 (132K)
151. The Thing,1982,8.2 (462K)
152. Yojimbo,1961,8.2 (130K)
153. Kill Bill: Vol. 1,2003,8.2 (1.2M)
154. Monty Python and the Holy Grail,1975,8.2 (567K)
155. The Great Escape,1963,8.2 (257K)
156. Finding Nemo,2003,8.2 (1.1M)
157. Rashomon,1950,8.2 (179K)
158. The Elephant Man,1980,8.2 (257K)
159. Howl's Moving Castle,2004,8.2 (442K)
160. Prisoners,2013,8.1 (798K)
161. Chinatown,1974,8.1 (347K)
162. Dial M for Murder,1954,8.2 (187K)
163. Gone with the Wind,1939,8.2 (332K)
164. V for Vendetta,2005,8.2 (1.2M)
"165. Lock, Stock and Two Smoking Barrels",1998,8.1 (612K)
166. The Secret in Their Eyes,2009,8.2 (221K)
167. Raging Bull,1980,8.1 (377K)
168. Inside Out,2015,8.1 (777K)
